,,Temp,Avg Temp,Diff,Oct,Nov,Dec,Jan,Feb,Mar,Apr,Total Snow,Avg Snow,Snow Diff
1985,1986,32.75,36.07,-3.32,0.0,0.0,1.5,3.4,11.5,0.0,0.0,16.4,22.8,-6.4
1986,1987,34.09,36.07,-1.98,0.0,0.0,0.4,15.2,10.1,0.0,0.0,25.7,22.8,2.9
1987,1988,33.68,36.07,-2.39,0.0,1.4,1.5,10.6,1.5,0.0,0.0,15.0,22.8,-7.8
1988,1989,35.56,36.07,-0.51,0.0,0.0,0.4,6.0,2.4,2.4,0.0,11.2,22.8,-11.6
1989,1990,35.48,36.07,-0.59,0.0,4.6,5.3,1.4,0.9,2.4,2.4,17.0,22.8,-5.8
1990,1991,39.04,36.07,2.97,0.0,0.0,6.4,6.5,1.0,0.7,0.0,14.6,22.8,-8.2
1991,1992,37.57,36.07,1.50,0.0,0.0,0.0,1.2,1.0,2.5,0.0,4.7,22.8,-18.1
1992,1993,36.45,36.07,0.38,0.0,0.0,0.0,1.0,10.9,12.4,0.0,24.3,22.8,1.5
1993,1994,32.96,36.07,-3.11,0.0,0.0,0.9,4.1,13.2,4.9,0.0,23.1,22.8,0.3
1994,1995,37.39,36.07,1.32,0.0,0.0,0.0,0.0,9.8,0.0,0.0,9.8,22.8,-13.0
1995,1996,31.82,36.07,-4.25,0.0,1.9,7.3,33.8,12.9,7.2,2.4,65.5,22.8,42.7
1996,1997,37.49,36.07,1.42,0.0,0.0,0.0,1.7,4.1,5.5,1.6,12.9,22.8,-9.9
1997,1998,40.35,36.07,4.28,0.0,0.0,0.2,0.5,0.0,0.1,0.0,0.8,22.8,-22.0
1998,1999,38.31,36.07,2.24,0.0,0.0,2.0,4.9,0.7,4.9,0.0,12.5,22.8,-10.3
1999,2000,36.45,36.07,0.38,0.0,0.0,0.0,11.0,5.6,0.0,1.6,18.2,22.8,-4.6
2000,2001,33.61,36.07,-2.46,0.0,0.0,10.5,3.8,10.0,1.8,0.0,26.1,22.8,3.3
2001,2002,41.34,36.07,5.27,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,22.8,-18.8
2002,2003,31.31,36.07,-4.76,0.0,0.0,8.4,6.3,29.6,0.2,1.8,46.3,22.8,23.5
2003,2004,32.71,36.07,-3.36,0.0,0.0,6.0,7.6,0.4,3.7,0.1,17.8,22.8,-5.0
2004,2005,35.17,36.07,-0.90,0.0,0.0,0.4,15.6,12.9,1.5,0.0,30.4,22.8,7.6
2005,2006,36.94,36.07,0.87,0.0,0.0,7.0,0.4,12.0,0.0,0.1,19.5,22.8,-3.3
2006,2007,36.55,36.07,0.48,0.0,0.0,0.0,2.2,6.5,4.7,0.0,13.4,22.8,-9.4
2007,2008,36.80,36.07,0.73,0.0,0.0,1.6,1.0,3.7,0.0,0.0,6.3,22.8,-16.5
2008,2009,34.86,36.07,-1.21,0.0,1.0,0.3,4.1,8.4,9.0,0.0,22.8,22.8,0.0
2009,2010,33.87,36.07,-2.20,0.0,0.0,24.1,3.1,51.5,0.0,0.0,78.7,22.8,55.9
2010,2011,32.93,36.07,-3.14,0.0,0.0,12.7,25.2,6.1,0.0,0.0,44.0,22.8,21.2
2011,2012,40.73,36.07,4.66,0.3,0.0,0.0,2.5,1.2,0.0,0.0,4.0,22.8,-18.8
2012,2013,38.30,36.07,2.23,0.0,0.0,0.4,3.9,2.7,1.3,0.0,8.3,22.8,-14.5
2013,2014,33.06,36.07,-3.01,0.0,0.0,11.2,25.9,22.4,8.5,0.0,68.0,22.8,45.2
2014,2015,32.83,36.07,-3.24,0.0,0.0,0.1,4.3,10.6,12.0,0.0,27.0,22.8,4.2
2015,2016,41.39,36.07,5.32,0.0,0.0,0.0,22.9,3.3,1.0,0.3,27.5,22.8,4.7
2016,2017,40.38,36.07,4.31,0.0,0.0,0.3,5.7,2.0,7.0,0.0,15.0,22.8,-7.8
2017,2018,36.77,36.07,0.70,0.0,0.0,8.6,4.6,1.4,15.2,0.0,29.8,22.8,7.0
2018,2019,36.89,36.07,0.82,0.0,3.6,0.3,2.6,6.6,4.0,0.0,17.1,22.8,-5.7
2019,2020,39.44,36.07,3.37,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.3,22.8,-22.5
2020,2021,36.27,36.07,0.20,0.0,0.0,6.6,3.0,14.3,0.0,0.0,23.9,22.8,1.1
2021,2022,39.11,36.07,3.04,0.0,0.0,0.0,4.6,0.4,0.4,0.0,5.4,22.8,-17.4
2022,2023,41.22,36.07,5.15,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,22.8,-22.5
2023,2024,40.07,36.07,4.00,0.0,0.0,0.0,8.0,3.2,0.0,0.0,11.2,22.8,-11.6
2024,2025,34.89,36.07,-1.18,0.0,0.0,0.3,4.6,3.2,0.0,0.0,8.1,22.8,-14.7
2025,2026,33.26,36.07,-2.81,0.0,0.0,4.5,11.2,14.4,0.0,0.0,30.1,22.8,7.3
